Building ID,Compliance Status,Property Name,Street,Zipcode,Year Built,Address Source,Address Type,Master Property Type,Primary Property Type EPA Calculated,Assessor Sector,Government Type,Master Sq Ft,Reporting Year,Energy Star Score,Site Energy Use (kBtu),Site EUI (kBtu/Sq Ft),Weather Normalized Site Energy Use (kBtu),Weather Normalized Site EUI (kBtu/Sq Ft),Electricity Use Grid Purchase and Onsite (kWh),Electricity Use Grid Purchase (kWh),Electricity Use Onsite Renewable (kWh),Green Power - Onsite and Offsite (kWh),Natural Gas Use (kBtu),District Steam Use (kBtu),District Chilled Water Use (kBtu),Total GHG Emissions (Metric Tons CO2e),Energy Star Certification - Years Certified,Recent Energy Star Certification
1020,in compliance,hampton inn dia denver airport,6290 tower rd,80249,1996,espm,building,Hotel,hotel,Commercial,,71000,2024,50,5135881.2,72.3,5126908.4,72.2,824994.5,824994.4,0,0,2321000,0,0,559.7,0,0
1021,in compliance,dia hospitality,18600 e 63rd ave.,80249,1997,espm,building,Hotel,hotel,Commercial,,38804,2024,56,2737751.7,70.6,2746585.7,70.8,422798.3,422798.2,0,0,1295164,0,0,292.4,0,0
1022,not submitted,ramada inn,6210 n tower rd,80249-6703,1997,assessor data,building,Hotel,,Commercial,,42481,2024,,,,,,,,,,,,,,,
1035,in compliance,waller,21601 e. 51st place,80249,2006,portfolio manager,building,K-12 School,k-12 school,Institutional,municipal dps,112253,2024,66,6222183.5,55.4,6204589.9,55.3,816290.7,700274.6,116016,116016,3436999.6,0,0,553,0,0
1036,in compliance,2963 - green valley ranch mob,4809 argonne st,80249,2007,espm,building,Medical Office,medical office,Commercial,,45761,2024,91,2777729,60.7,2773667.3,60.6,401382.1,401382,0,0,1408213.4,0,0,287.1,2023,2023
1037,in compliance,green valley ranch library,4856 n andes st,80249,2011,espm,building,Library,library,Municipal,city - general services,26000,2024,0,2390274,91.9,2376713.9,91.4,334031.7,334031.6,0,0,1250558,0,0,243.1,0,0
1038,in compliance,omar d. blair,4905 cathay st,80249,2004,portfolio manager,building,K-12 School,k-12 school,Institutional,municipal dps,78979,2024,24,5688358.3,72,5675831.6,71.9,847320.7,847320.6,0,0,2797300,0,0,596.8,0,0
1040,not submitted,,4890 argonne way,80223,2003,assessor data,building,,,Municipal,city - general services,34126,2024,,,,,,,,,,,,,,,
1041,in compliance,62000083-green valley rnch town cntr,18605 green valley ranch blvd.,80249,2003,espm,building,Supermarket/Grocery Store,supermarket/grocery store,Commercial,,58864,2024,73,10858824.1,184.5,10838492.9,184.1,2099305,2099304.4,0,0,3695996.7,0,0,1306.8,"2017, 2012",2017
1042,in compliance,dennis campus building #1,"4800 telluride street, bldg #1",80249,2010,portfolio manager,building,K-12 School,k-12 school,Institutional,municipal dps,83833,2024,94,2645980,31.6,2645980,31.6,771049.5,437416.5,333633,333633,15159,0,0,232.2,0,0
1043,in compliance,dennis campus building #2,"4800 telluride street, bldg #2",80249,2010,portfolio manager,building,K-12 School,k-12 school,Institutional,municipal dps,36694,2024,97,721164.1,19.7,720368,19.6,191367.9,191367.8,0,0,68217,0,0,104.9,0,0
1044,in compliance,dennis campus building #3,"4800 telluride street, bldg #3",80249,2010,portfolio manager,building,K-12 School,k-12 school,Institutional,municipal dps,36694,2024,75,1582110.2,43.1,1578190.5,43,221195.8,221195.8,0,0,827390,0,0,161,0,0
1045,in compliance,dennis campus building #4,"4800 telluride street, bldg #4",80249,2010,portfolio manager,building,K-12 School,k-12 school,Institutional,municipal dps,41740,2024,90,927533.9,22.2,924560.3,22.2,269593.7,269593.7,0,0,7680,0,0,143,0,0
1047,in compliance,montbello rec ctr,15555 e 53rd ave,80239,1980,espm,building,Other - Recreation,other - recreation,Municipal,city - general services,44394,2024,0,6296312.5,141.8,6273756,141.3,587742.9,587742.9,0,0,4290933.9,0,0,529.6,0,0
1049,in compliance,noel,5290 kittredge st.,80239,2002,portfolio manager,building,K-12 School,k-12 school,Institutional,municipal dps,143965,2024,28,10348226.4,71.9,10316973.8,71.7,1679590,1544711.6,134878,134878,4617466.2,0,0,1062.4,0,0
1055,in compliance,building 1,5255 memphis st,80239,2002,espm,building,Multifamily Housing,multifamily housing,Multi-family Condominium,,25180,2024,93,1003821.8,39.9,1005426.5,39.9,138992.9,138992.9,0,0,529578,0,0,101.7,0,0
1056,in compliance,building 2,5255 memphis st,80239,2002,espm,building,Multifamily Housing,multifamily housing,Multi-family Condominium,,25672,2024,92,1145469.2,44.6,1141653.6,44.5,131177.1,131177.1,0,0,697893,0,0,106.5,0,0
1057,in compliance,building 3,5255 memphis st,80239,2002,espm,building,Multifamily Housing,multifamily housing,Multi-family Condominium,,25672,2024,94,1060607.6,41.3,1057457.2,41.2,137328.2,137328.1,0,0,592044,0,0,104.1,0,0
1058,in compliance,building 7,5255 memphis st,80239,2002,espm,building,Multifamily Housing,multifamily housing,Multi-family Condominium,,25180,2024,95,987798.7,39.2,985060.6,39.1,123970.6,123970.6,0,0,564811,0,0,95.6,0,0
1059,in compliance,building 8,5255 memphis st,80239,2002,espm,building,Multifamily Housing,multifamily housing,Multi-family Condominium,,25180,2024,77,1279328.3,50.8,1279625.1,50.8,162367,162367,0,0,725332,0,0,124.4,0,0
1060,in compliance,building 9,5255 memphis st,80239,2002,espm,building,Multifamily Housing,multifamily housing,Multi-family Condominium,,25180,2024,84,1179782.1,46.9,1181928.6,46.9,152068,152068,0,0,660926,0,0,115.5,0,0
1061,in compliance,building 10,5255 memphis st,80239,2002,espm,building,Multifamily Housing,multifamily housing,Multi-family Condominium,,25180,2024,84,1238276.4,49.2,1235015.3,49,141907.8,141907.8,0,0,754086.9,0,0,115.1,0,0
1062,in compliance,building 11,5255 memphis st,80239,2002,espm,building,Multifamily Housing,multifamily housing,Multi-family Condominium,,25672,2024,87,1217332.3,47.4,1214061.1,47.3,149981.3,149981.3,0,0,705596,0,0,116.8,0,0
1063,in compliance,building 12,5255 memphis st,80239,2002,espm,building,Multifamily Housing,multifamily housing,Multi-family Condominium,,25672,2024,89,1147506,44.7,1144279.5,44.6,148016.7,148016.7,0,0,642473,0,0,112.4,0,0
1064,in compliance,dcis at ford,14500 maxwell place,80239,1973,portfolio manager,building,K-12 School,k-12 school,Institutional,municipal dps,73848,2024,51,3019357.3,40.9,3011074.6,40.8,712297,712296.9,0,0,589000,0,0,408.1,0,0
1066,in compliance,montbello,5000 crown boulevard,80239,1980,portfolio manager,building,K-12 School,k-12 school,Institutional,municipal dps,304137,2024,63,13779467.6,45.3,13779467.6,45.3,3282647,3282646.9,0,0,2579075.1,0,0,1873.4,0,0
1067,in compliance,"denver (wnm), co",5141 chambers road,80239,2012,espm,building,Supermarket/Grocery Store,supermarket/grocery store,Commercial,,57561,2024,84,9999317.9,173.7,9972693.2,173.3,1698006,1698005.7,0,0,4205721.8,0,0,1121.6,0,0
1068,in compliance,greenwood,5130 durham court,80239,2001,portfolio manager,building,K-12 School,k-12 school,Institutional,municipal dps,75996,2024,72,3884627.5,51.1,3871260,50.9,540922.5,419377.4,121545,121545,2039000,0,0,330.1,0,0
1069,in compliance,sable ridge residences,15255 e 40th ave,80239-5913,2003,espm,building,Multifamily Housing,multifamily housing,Multi-Family,,57063,2024,77,3272046.9,57.3,3275164.9,57.4,382797.4,382797.3,0,0,1965942.2,0,0,306.9,0,0
1070,in compliance,oakland,4580 dearborn street,80239,1984,portfolio manager,building,K-12 School,k-12 school,Institutional,municipal dps,77708,2024,85,2913101.6,37.5,2903580.7,37.4,408880.9,408880.8,0,0,1518000,0,0,296.9,0,0
1071,in compliance,4555 airport way,4555 airport way,80239,2008,espm,building,Office,office,Commercial,,92226,2024,81,4288918.4,46.5,4301117.4,46.6,969236.8,969236.7,0,0,981882.3,0,0,564.9,0,0
1115,pending revisions,towne square lofts homeowners association inc.,15475 e. andrews drive,80239,2002,portfolio manager,building,Multifamily Housing,multifamily housing,Multi-family Condominium,,50000,2024,83,3777546.2,51.9,3770919.9,51.8,494193.2,494193.2,0,0,2091359,0,0,364.7,0,0
1117,in compliance,denver airport co cy,4343 airport way,80239,2007,espm,building,Hotel,hotel,Commercial,,72203,2024,59,6008009,83.2,6012977.8,83.3,1051259,1051258.7,0,0,2421113.7,0,0,684.7,0,0
1118,in compliance,gateway vii,4347 airport way,80723,2012,espm,building,Other - Services,other - services,Commercial,,43585,2024,0,2154893,49.4,2103127.6,48.3,169184.8,169184.8,0,0,1577634.4,0,0,173.3,0,0
1119,in compliance,four gateway centre,4400 kittredge street,80239,2001,espm,building,Office,office,Commercial,,61958,2024,76,4334921.3,70,4321634.9,69.8,638343.3,638343.2,0,0,2156894,0,0,452.2,0,0
1120,in compliance,towneplace suites - dia/gateway,4100 north kittredge st,80239,2012,espm,building,Hotel,hotel,Commercial,,59037,2024,96,3951524.1,66.9,3957177.3,67,615061.1,615061.1,0,0,1852935.5,0,0,423.8,0,0
1121,in compliance,cae building,4501 airport way,80249,2003,portfolio manager,building,K-12 School,k-12 school,Institutional,municipal dps,45355,2024,35,2519057.6,55.5,2518142,55.5,538375,538375,0,0,682122,0,0,321,0,0
1122,in compliance,raymond james & associates,16222 e. 45th pl.,80239,2013,espm,building,Data Center,data center,Commercial,,39014,2024,99,21056090,539.7,21056090,539.7,6171187,6171186.2,0,0,0,0,0,3264.4,2023,2023
1123,in compliance,hampton inn denver/airport gateway park,4310 airport way,80239,2012,espm,building,Hotel,hotel,Commercial,,74296,2024,90,5507823.8,74.1,5513969.8,74.2,817971.3,817971.2,0,0,2716905.9,0,0,577,0,0
1125,in compliance,homewood suites dia,4210 airport way,80239,2008,espm,building,Hotel,hotel,Commercial,,93875,2024,98,5545753.8,59.1,5562457,59.3,837612.4,837612.3,0,0,2687820.4,0,0,585.8,0,0
1126,in compliance,king (mlk),19535 e. 46th ave.,80249,1984,portfolio manager,building,K-12 School,k-12 school,Institutional,municipal dps,203487,2024,72,9805061,48.2,9766409.9,48,1351425,1196906.5,154518,154518,5194000.1,0,0,909,0,0
1149,in compliance,marrama,19100 east 40th avenue,80249,1984,portfolio manager,building,K-12 School,k-12 school,Institutional,municipal dps,80779,2024,92,2196415.1,27.2,2188752.9,27.1,422747.7,422747.6,0,0,754000,0,0,263.7,0,0
1150,in compliance,green valley ranch elementary,4100 n jericho street,80249,2000,portfolio manager,building,K-12 School,k-12 school,Institutional,municipal dps,74435,2024,72,3443383.2,45.1,3431957.7,44.9,500112.4,500112.3,0,0,1736999.9,0,0,356.8,0,0
1151,in compliance,john amesse elementary,5440 scranton street,80239,1973,portfolio manager,building,K-12 School,k-12 school,Institutional,municipal dps,70740,2024,31,5860749.8,82.8,5817757.8,82.2,580817.6,580817.6,0,0,3879000,0,0,513.3,0,0
1152,in compliance,bt42568-11333 e 55th ave,11333 e. 55th ave,80239,1985,portfolio manager,building,Non-Refrigerated Warehouse,non-refrigerated warehouse,Commercial,,114046,2024,37,5601382.2,50.2,5571474,49.9,427025.8,427025.8,0,0,4144370,0,0,446,0,0
1153,in compliance,tal airport - 55th,11777 east 55th ave,80239,1985,espm,building,Manufacturing/Industrial Plant,mixed use property,Commercial,,172400,2024,0,7537525.1,43.7,7503796.2,43.5,825044.9,825044.8,0,0,4722472.1,0,0,687.3,2018,2018
1154,in compliance,midway ii 11440,11440 e. 56th ave,80239,1986,espm,building,Non-Refrigerated Warehouse,non-refrigerated warehouse,Commercial,,158920,2024,73,6442777.7,39.3,6407191.2,39,324497.9,324497.8,0,0,5335591,0,0,455,0,0
1155,in compliance,denver business center (11605-11685 e 55th),11605-11685 e 55th avenue,80239,2008,espm,building,Non-Refrigerated Warehouse,non-refrigerated warehouse,Commercial,,100000,2024,92,1583800,15.8,1571648.2,15.7,144586.2,144586.2,0,0,1090472,0,0,134.4,2023,2023
1156,in compliance,sp richards,11600 e56th ave,80239,1990,espm,building,Distribution Center,distribution center,Commercial,,210000,2024,88,3052346.1,14.5,3033840.5,14.4,402282.2,402282.2,0,0,1679759.1,0,0,302,0,0
1157,in compliance,dbc midway i: tal airport - 53rd,11475 east 53rd ave,80239,1985,espm,building,Distribution Center,distribution center,Commercial,,168560,2024,50,5594764.6,33.2,5569295.2,33,471092.1,471092.1,0,0,3987398.2,0,0,461,0,0
1158,in compliance,denver business center-11685 e 53rd,11685 e. 53rd ave,80239,1985,espm,building,Non-Refrigerated Warehouse,non-refrigerated warehouse,Commercial,,167995,2024,80,4806416.8,28.6,4767225.3,28.4,247880.4,247880.3,0,0,3960649,0,0,341.5,0,0
1159,in compliance,denver business center-11585 e 53rd,11585 e. 53rd ave,80239,1985,espm,building,Non-Refrigerated Warehouse,non-refrigerated warehouse,Commercial,,167972,2024,81,5386525,32.1,5353330.9,31.9,261927,261927,0,0,4492830,0,0,377.2,0,0
1160,in compliance,5401 oswego - 11513,5301 oswego st,80239,1985,espm,building,Mixed Use Property,mixed use property,Commercial,,54738,2024,0,3768926.1,68.9,3754159.9,68.6,210464.1,210464.1,0,0,3050822.7,0,0,273.4,0,0
1161,in compliance,11701 east 53rd avenue - 11512,11701 e 53rd ave,80239,1985,espm,building,Mixed Use Property,non-refrigerated warehouse,Commercial,,81981,2024,72,3919431.2,47.8,3902236,47.6,428892.8,428892.8,0,0,2456048.9,0,0,350.6,0,0
1162,in compliance,cintas 66,5495 oswego street,80239,1996,manual,building,Manufacturing/Industrial Plant,manufacturing/industrial plant,Commercial,,49525,2024,0,28552004.7,578.8,28552004.7,578.8,1322100,1322099.8,0,0,24040999.6,0,0,1976.3,0,0
1163,in compliance,233968,11780 e 53rd ave,802392308,1989,espm,building,Distribution Center,distribution center,Commercial,,115009,2024,32,6825915.3,59.4,6797562.2,59.1,726839.3,726839.2,0,0,4345939.5,0,0,615.3,0,0
1165,in compliance,parent - 11500-11600 east 53rd ave,11500 east 53rd avenue,80239,1995,espm,building,Distribution Center,distribution center,Commercial,,193365,2024,0,6812186,35.2,6791974.7,35.1,515722.4,515722.4,0,0,5052541.1,0,0,541.2,0,0
1166,in compliance,bt46270-5301 peoria street,5301 peoria street,80239,2000,espm,building,Distribution Center,distribution center,Commercial,,307074,2024,22,17702888.9,57.7,17594734,57.3,1982106,1982105.3,0,0,10939944.8,0,0,1629.5,0,0
1167,in compliance,den00106 - denver 1,11400 e. 53rd ave.,80239,1998,espm,building,Distribution Center,distribution center,Commercial,,107000,2024,68,4481932.1,41.9,4455533.7,41.6,160379.9,160379.9,0,0,3934715.9,0,0,293.8,0,0
1168,in compliance,den00107 - denver 2,11402 e. 53rd ave,80239,1998,espm,building,Distribution Center,distribution center,Commercial,,91892,2024,81,2875352.9,31.3,2848630.4,31,163917.9,163917.9,0,0,2316065.1,0,0,209.7,0,0
1169,in compliance,premier eurocase 56th ave,12000 e 56th ave,80239,1993,espm,building,Manufacturing/Industrial Plant,manufacturing/industrial plant,Commercial,,100000,2024,0,11603964.5,116,11603001.6,116,1866833,1866832.5,0,0,5234331.1,0,0,1265.5,0,0
1171,in compliance,den00113 - denver business center 13,5501 peoria street,80239,1998,espm,building,Non-Refrigerated Warehouse,non-refrigerated warehouse,Commercial,,228376,2024,93,3580746.6,15.6,3561970.6,15.5,382738.4,382738.3,0,0,2274843.4,0,0,323.3,0,0
1176,in compliance,lyk havana - 10500 e 54th,10500 e. 54th ave,80239,1985,espm,building,Non-Refrigerated Warehouse,non-refrigerated warehouse,Commercial,,104048,2024,91,2435898.7,23.4,2420022.7,23.3,156954.1,156954.1,0,0,1900371.3,0,0,184,0,0
1178,in compliance,lyk havana - 10600 e 54th,10600 e 54th ave,80239,1985,espm,building,Manufacturing/Industrial Plant,manufacturing/industrial plant,Commercial,,74190,2024,0,3258658.6,43.9,3244361.4,43.7,413731.8,413731.7,0,0,1847005.9,0,0,317,0,0
1179,in compliance,11211-mountain view 5150,5150 havana street,80239,1997,espm,building,Non-Refrigerated Warehouse,non-refrigerated warehouse,Commercial,,65737,2024,87,2643424.2,40.2,2629591.7,40,228549.3,228549.3,0,0,1863614,0,0,219.9,0,0
1180,in compliance,11210-mountain view 5160,5160 havana street,80239,1997,espm,building,Non-Refrigerated Warehouse,non-refrigerated warehouse,Commercial,,86055,2024,78,3855450,44.8,3837343.9,44.6,187207.5,187207.5,0,0,3216698,0,0,269.9,2023,2023
1181,in compliance,peterson havana,5454 havana street,80239,1980,espm,building,Non-Refrigerated Warehouse,non-refrigerated warehouse,Commercial,,77009,2024,78,2302581.3,29.9,2289500.6,29.7,203966.7,203966.6,0,0,1606647.1,0,0,193.2,0,0
1184,in compliance,80 s santa fe,5588 havana st,80239,1983,espm,building,Mixed Use Property,mixed use property,Commercial,,60280,2024,0,12500347,207.4,12425495.8,206.1,1105111,1105111,0,0,8729707.6,0,0,1048.2,0,0
1186,in compliance,inland truck parts and service,5555 joliet street,80239,1996,portfolio manager,building,non-refrigerated warehouse,non-refrigerated warehouse,Commercial,,105519,2024,0,4117384.6,39,4093340.7,38.8,360244.6,360244.6,0,0,2888230,0,0,338.3,0,0
1187,in compliance,5475 joliet,5475 joliet street,80239,1981,espm,building,Distribution Center,distribution center,Commercial,,82924,2024,77,3308761.2,39.9,3286917.8,39.6,129220.1,129220.1,0,0,2867862.1,0,0,220.7,"2023, 2022, 2021, 2019",2023
1189,not submitted,jr properties - denver - 1189,10800 e. 54th ave.,80239,1986,espm,building,Other,manufacturing/industrial plant,Commercial,,38700,2024,,,,,,,,,,,,,,,
1190,in compliance,5175 joliet,5175 joliet street,80239,1975,espm,building,Distribution Center,distribution center,Commercial,,119983,2024,82,4873354.7,40.6,4843398.6,40.4,167027,167026.9,0,0,4303458.8,0,0,316.9,0,0
1191,in compliance,leopold bros.,5285 n joliet st,80239,2020,assessor data,building,Manufacturing/Industrial Plant,manufacturing/industrial plant,Industrial,,50169,2024,0,5897430.3,117.6,5879423.5,117.2,387702.9,387702.8,0,0,4574588.1,0,0,448.1,0,0
1192,in compliance,denver business center 5 - 11175 e 55th,11175 e. 55th ave,80239,1996,espm,building,Non-Refrigerated Warehouse,non-refrigerated warehouse,Commercial,,235029,2024,78,8212253.3,34.9,8169459.6,34.8,836112.1,836112,0,0,5359438.9,0,0,726.9,0,0
1193,in compliance,action gypsum supply (denver),10980 east 56th avenue,80239,1987,espm,building,Non-Refrigerated Warehouse,non-refrigerated warehouse,Commercial,,40300,2024,68,391174.9,9.7,389996.7,9.7,69740.4,69740.4,0,0,153220.8,0,0,45,0,0
1194,in compliance,may business center,10975 e. 55th ave,80239,1999,espm,building,Manufacturing/Industrial Plant,manufacturing/industrial plant,Commercial,,41140,2024,0,1557728,37.9,1550116.5,37.7,91584.1,91584.1,0,0,1245243,0,0,114.6,0,0
1195,in compliance,im000953 - 11333 e 53rd ave denver,11333 e 53rd ave,80239,1981,espm,building,Non-Refrigerated Warehouse,non-refrigerated warehouse,Commercial,,205121,2024,82,5353508,26.1,5300208.4,25.8,362290.5,362290.5,0,0,4117372.8,0,0,410.3,0,0
1197,in compliance,"midwest airport properties, llc",5400 joliet st,80239,1982,espm,building,Distribution Center,distribution center,Commercial,,25060,2024,89,742494.5,29.6,742146.5,29.6,23821,23821,0,0,661217.3,0,0,47.3,0,0
1198,in compliance,parent - 11100-11111 east 53rd ave,11111 east 53rd avenue,80239,1982,espm,building,Distribution Center,distribution center,Commercial,,288390,2024,0,10283886.7,35.7,10218172.6,35.4,479346.8,479346.8,0,0,8648355.3,0,0,712.9,0,0
1202,in compliance,joliet,5280 joliet street,80239,1984,espm,building,Manufacturing/Industrial Plant,manufacturing/industrial plant,Commercial,,83072,2024,0,10614897.8,126.3,10592156.7,126.1,2349104,2349103.8,0,0,2599754.6,0,0,1380.7,0,0
1203,in compliance,den00108 - denver 3,11220 e. 53rd avenue,80239,2001,espm,building,Non-Refrigerated Warehouse,non-refrigerated warehouse,Commercial Condominium,,153162,2024,77,5272941.9,34.4,5246276.5,34.3,330702.5,330702.4,0,0,4144585.1,0,0,395.1,0,0
1204,in compliance,4821-4825 lima,4821-4825 lima street,80239,1971,espm,building,Manufacturing/Industrial Plant,manufacturing/industrial plant,Commercial,,38740,2024,0,7141542.8,184.3,7134519.1,184.2,1333465,1333464.6,0,0,2591761.1,0,0,843,0,0
1205,in compliance,montbello bldg 06,4905 lima street,80239,1973,espm,building,Non-Refrigerated Warehouse,non-refrigerated warehouse,Commercial,,33685,2024,57,2139026.3,61.8,2126858,61.4,182028,182028,0,0,1517946.9,0,0,176.9,0,0
1206,in compliance,montbello bldg 15,4945 lima streeet,80239,1972,espm,building,Non-Refrigerated Warehouse,non-refrigerated warehouse,Commercial,,78938,2024,75,3581219,45.4,3555343.3,45,163328.9,163328.8,0,0,3023941,0,0,247,0,0
1207,pending revisions,cri,10705 e 51st ave,80239,1973,espm,building,Food Sales,food sales,Commercial,,51020,2024,0,2578170.3,53.7,2568076.4,53.5,346737.6,346737.6,0,0,1395101.4,0,0,257.5,0,0
1208,in compliance,4800 joliet,4800 joliet street,80239,1969,espm,building,Non-Refrigerated Warehouse,non-refrigerated warehouse,Commercial,,80800,2024,78,3353791.9,41.5,3331337.1,41.2,49371.1,49371.1,0,0,3185337.8,0,0,195.3,0,0
1209,in compliance,joliet property llc,4890 joliet st,80239,1974,portfolio manager,building,Manufacturing/Industrial Plant,manufacturing/industrial plant,Commercial,,76564,2024,0,13965203.5,182.4,13950551.7,182.2,3589900,3589899.8,0,0,1716463.9,0,0,1990.1,0,0
1210,in compliance,4860 joliet,4860 joliet street,80239,1972,espm,building,Distribution Center,distribution center,Commercial,,81750,2024,94,1506955.7,18.4,1497376.1,18.3,51550.1,51550.1,0,0,1331066.9,0,0,98,0,0
1211,in compliance,orepac building products,5050 ironton street,80239,1973,espm,building,Distribution Center,distribution center,Commercial,,136693,2024,65,5374680,39.3,5348249.1,39.1,488881.6,488881.5,0,0,3706616.1,0,0,455.5,0,0
1212,in compliance,amcor denver,4990 ironton street,80239,1969,portfolio manager,building,Manufacturing/Industrial Plant,manufacturing/industrial plant,Industrial,,147686,2024,0,43768821.3,296.4,43768651.7,296.4,12821990,12821986.3,0,0,20198.7,0,0,6783.5,0,0
1213,in compliance,nulite,10770 east 51st avenue,80239,1970,portfolio manager,building,Manufacturing/Industrial Plant,manufacturing/industrial plant,Commercial,,58194,2024,0,2081193.4,35.8,2070564,35.6,194318.4,194318.4,0,0,1418179,0,0,175.1,0,0
1214,in compliance,11000 51st ave.,11000 east 51st avenue,80239,1978,espm,building,Distribution Center,distribution center,Commercial,,51558,2024,36,3302642,64.1,3286363.9,63.7,208379.9,208379.9,0,0,2591649.8,0,0,247.9,0,0
1215,in compliance,4860/80 ironton,4880 ironton street,80239,1973,espm,building,Distribution Center,distribution center,Commercial,,71600,2024,43,4902222.9,68.5,4875982.1,68.1,406965.9,406965.9,0,0,3513655.1,0,0,401.9,0,0
1216,in compliance,4890 ironton,4890 n ironton,80239,1973,espm,building,Mixed Use Property,mixed use property,Commercial,,28395,2024,0,1732080.4,61,1726201.7,60.8,119319.3,119319.3,0,0,1324963,0,0,133.5,0,0
